Date,Close
2/21/2017,"$2,365.38"
2/17/2017,"$2,351.16"
2/16/2017,"$2,347.22"
2/15/2017,"$2,349.25"
2/14/2017,"$2,337.58"
2/13/2017,"$2,328.25"
2/10/2017,"$2,316.10"
2/9/2017,"$2,307.87"
2/8/2017,"$2,294.67"
2/7/2017,"$2,293.08"
2/6/2017,"$2,292.56"
2/3/2017,"$2,297.42"
2/2/2017,"$2,280.85"
2/1/2017,"$2,279.55"
1/31/2017,"$2,278.87"
1/30/2017,"$2,280.90"
1/27/2017,"$2,294.69"
1/26/2017,"$2,296.68"
1/25/2017,"$2,298.37"
1/24/2017,"$2,280.07"
1/23/2017,"$2,265.20"
1/20/2017,"$2,271.31"
1/19/2017,"$2,263.69"
1/18/2017,"$2,271.89"
1/17/2017,"$2,267.89"
1/13/2017,"$2,274.64"
1/12/2017,"$2,270.44"
1/11/2017,"$2,275.32"
1/10/2017,"$2,268.90"
1/9/2017,"$2,268.90"
1/6/2017,"$2,276.98"
1/5/2017,"$2,269.00"
1/4/2017,"$2,270.75"
1/3/2017,"$2,257.83"
12/30/2016,"$2,238.83"
12/29/2016,"$2,249.26"
12/28/2016,"$2,249.92"
12/27/2016,"$2,268.88"
12/23/2016,"$2,263.79"
12/22/2016,"$2,260.96"
12/21/2016,"$2,265.18"
12/20/2016,"$2,270.76"
12/19/2016,"$2,262.53"
12/16/2016,"$2,258.07"
12/15/2016,"$2,262.03"
12/14/2016,"$2,253.28"
12/13/2016,"$2,271.72"
12/12/2016,"$2,256.96"
12/9/2016,"$2,259.53"
12/8/2016,"$2,246.19"
12/7/2016,"$2,241.35"
12/6/2016,"$2,212.23"
12/5/2016,"$2,204.71"
12/2/2016,"$2,191.95"
12/1/2016,"$2,191.08"
11/30/2016,"$2,198.81"
11/29/2016,"$2,204.66"
11/28/2016,"$2,201.72"
11/25/2016,"$2,213.35"
11/23/2016,"$2,204.72"
11/22/2016,"$2,202.94"
11/21/2016,"$2,198.18"
11/18/2016,"$2,181.90"
11/17/2016,"$2,187.12"
11/16/2016,"$2,176.94"
11/15/2016,"$2,180.39"
11/14/2016,"$2,164.20"
11/11/2016,"$2,164.45"
11/10/2016,"$2,167.48"
11/9/2016,"$2,163.26"
11/8/2016,"$2,139.56"
11/7/2016,"$2,131.52"
11/4/2016,"$2,085.18"
11/3/2016,"$2,088.66"
11/2/2016,"$2,097.94"
11/1/2016,"$2,111.72"
10/31/2016,"$2,126.15"
10/28/2016,"$2,126.41"
10/27/2016,"$2,133.04"
10/26/2016,"$2,139.43"
10/25/2016,"$2,143.16"
10/24/2016,"$2,151.33"
10/21/2016,"$2,141.16"
10/20/2016,"$2,141.34"
10/19/2016,"$2,144.29"
10/18/2016,"$2,139.60"
10/17/2016,"$2,126.50"
10/14/2016,"$2,132.98"
10/13/2016,"$2,132.55"
10/12/2016,"$2,139.18"
10/11/2016,"$2,136.73"
10/10/2016,"$2,163.66"
10/7/2016,"$2,153.74"
10/6/2016,"$2,160.77"
10/5/2016,"$2,159.73"
10/4/2016,"$2,150.49"
10/3/2016,"$2,161.20"
9/30/2016,"$2,168.27"
9/29/2016,"$2,151.13"
9/28/2016,"$2,171.37"
9/27/2016,"$2,159.93"
9/26/2016,"$2,146.10"
9/23/2016,"$2,164.69"
9/22/2016,"$2,177.18"
9/21/2016,"$2,163.12"
9/20/2016,"$2,139.76"
9/19/2016,"$2,139.12"
9/16/2016,"$2,139.16"
9/15/2016,"$2,147.26"
9/14/2016,"$2,125.77"
9/13/2016,"$2,127.02"
9/12/2016,"$2,159.04"
9/9/2016,"$2,127.81"
9/8/2016,"$2,181.30"
9/7/2016,"$2,186.16"
9/6/2016,"$2,186.48"
9/2/2016,"$2,179.98"
9/1/2016,"$2,170.86"
8/31/2016,"$2,170.95"
8/30/2016,"$2,176.12"
8/29/2016,"$2,180.38"
8/26/2016,"$2,169.04"
8/25/2016,"$2,172.47"
8/24/2016,"$2,175.44"
8/23/2016,"$2,186.90"
8/22/2016,"$2,182.64"
8/19/2016,"$2,183.87"
8/18/2016,"$2,187.02"
8/17/2016,"$2,182.22"
8/16/2016,"$2,178.15"
8/15/2016,"$2,190.15"
8/12/2016,"$2,184.05"
8/11/2016,"$2,185.79"
8/10/2016,"$2,175.49"
8/9/2016,"$2,181.74"
8/8/2016,"$2,180.89"
8/5/2016,"$2,182.87"
8/4/2016,"$2,164.25"
8/3/2016,"$2,163.79"
8/2/2016,"$2,157.03"
8/1/2016,"$2,170.84"
7/29/2016,"$2,173.60"
7/28/2016,"$2,170.06"
7/27/2016,"$2,166.58"
7/26/2016,"$2,169.18"
7/25/2016,"$2,168.48"
7/22/2016,"$2,175.03"
7/21/2016,"$2,165.17"
7/20/2016,"$2,173.02"
7/19/2016,"$2,163.78"
7/18/2016,"$2,166.89"
7/15/2016,"$2,161.74"
7/14/2016,"$2,163.75"
7/13/2016,"$2,152.43"
7/12/2016,"$2,152.14"
7/11/2016,"$2,137.16"
7/8/2016,"$2,129.90"
7/7/2016,"$2,097.90"
7/6/2016,"$2,099.73"
7/5/2016,"$2,088.55"
7/1/2016,"$2,102.95"
6/30/2016,"$2,098.86"
6/29/2016,"$2,070.77"
6/28/2016,"$2,036.09"
6/27/2016,"$2,000.54"
6/24/2016,"$2,037.41"
6/23/2016,"$2,113.32"
6/22/2016,"$2,085.45"
6/21/2016,"$2,088.90"
6/20/2016,"$2,083.25"
6/17/2016,"$2,071.22"
6/16/2016,"$2,077.99"
6/15/2016,"$2,071.50"
6/14/2016,"$2,075.32"
6/13/2016,"$2,079.06"
6/10/2016,"$2,096.07"
6/9/2016,"$2,115.48"
6/8/2016,"$2,119.12"
6/7/2016,"$2,112.13"
6/6/2016,"$2,109.41"
6/3/2016,"$2,099.13"
6/2/2016,"$2,105.26"
6/1/2016,"$2,099.33"
5/31/2016,"$2,096.96"
5/27/2016,"$2,099.06"
5/26/2016,"$2,090.10"
5/25/2016,"$2,090.54"
5/24/2016,"$2,076.06"
5/23/2016,"$2,048.04"
5/20/2016,"$2,052.32"
5/19/2016,"$2,040.04"
5/18/2016,"$2,047.63"
5/17/2016,"$2,047.21"
5/16/2016,"$2,066.66"
5/13/2016,"$2,046.61"
5/12/2016,"$2,064.11"
5/11/2016,"$2,064.46"
5/10/2016,"$2,084.39"
5/9/2016,"$2,058.69"
5/6/2016,"$2,057.14"
5/5/2016,"$2,050.63"
5/4/2016,"$2,051.12"
5/3/2016,"$2,063.37"
5/2/2016,"$2,081.43"
4/29/2016,"$2,065.30"
4/28/2016,"$2,075.81"
4/27/2016,"$2,095.15"
4/26/2016,"$2,091.70"
4/25/2016,"$2,087.79"
4/22/2016,"$2,091.58"
4/21/2016,"$2,091.48"
4/20/2016,"$2,102.40"
4/19/2016,"$2,100.80"
4/18/2016,"$2,094.34"
4/15/2016,"$2,080.73"
4/14/2016,"$2,082.78"
4/13/2016,"$2,082.42"
4/12/2016,"$2,061.72"
4/11/2016,"$2,041.99"
4/8/2016,"$2,047.60"
4/7/2016,"$2,041.91"
4/6/2016,"$2,066.66"
4/5/2016,"$2,045.17"
4/4/2016,"$2,066.13"
4/1/2016,"$2,072.78"
3/31/2016,"$2,059.74"
3/30/2016,"$2,063.95"
3/29/2016,"$2,055.01"
3/28/2016,"$2,037.05"
3/24/2016,"$2,035.94"
3/23/2016,"$2,036.71"
3/22/2016,"$2,049.80"
3/21/2016,"$2,051.60"
3/18/2016,"$2,049.58"
3/17/2016,"$2,040.59"
3/16/2016,"$2,027.22"
3/15/2016,"$2,015.93"
3/14/2016,"$2,019.64"
3/11/2016,"$2,022.19"
3/10/2016,"$1,989.57"
3/9/2016,"$1,989.27"
3/8/2016,"$1,979.26"
3/7/2016,"$2,001.76"
3/4/2016,"$1,999.99"
3/3/2016,"$1,993.40"
3/2/2016,"$1,986.45"
3/1/2016,"$1,978.35"
2/29/2016,"$1,932.23"
2/26/2016,"$1,948.05"
2/25/2016,"$1,951.70"
2/24/2016,"$1,929.80"
2/23/2016,"$1,921.27"
2/22/2016,"$1,945.50"
2/19/2016,"$1,917.78"
2/18/2016,"$1,917.83"
2/17/2016,"$1,926.83"
2/16/2016,"$1,895.58"
2/12/2016,"$1,864.78"
2/11/2016,"$1,829.08"
2/10/2016,"$1,851.86"
2/9/2016,"$1,852.21"
2/8/2016,"$1,853.44"
2/5/2016,"$1,880.05"
2/4/2016,"$1,915.45"
2/3/2016,"$1,912.53"
2/2/2016,"$1,903.03"
2/1/2016,"$1,939.38"
1/29/2016,"$1,940.24"
1/28/2016,"$1,893.36"
1/27/2016,"$1,882.95"
1/26/2016,"$1,903.63"
1/25/2016,"$1,877.08"
1/22/2016,"$1,906.90"
1/21/2016,"$1,868.99"
1/20/2016,"$1,859.33"
1/19/2016,"$1,881.33"
1/15/2016,"$1,880.33"
1/14/2016,"$1,921.84"
1/13/2016,"$1,890.28"
1/12/2016,"$1,938.68"
1/11/2016,"$1,923.67"
1/8/2016,"$1,922.03"
1/7/2016,"$1,943.09"
1/6/2016,"$1,990.26"
1/5/2016,"$2,016.71"
1/4/2016,"$2,012.66"
12/31/2015,"$2,043.94"
12/30/2015,"$2,063.36"
12/29/2015,"$2,078.36"
12/28/2015,"$2,056.50"
12/24/2015,"$2,060.99"
12/23/2015,"$2,064.29"
12/22/2015,"$2,038.97"
12/21/2015,"$2,021.15"
12/18/2015,"$2,005.55"
12/17/2015,"$2,041.89"
12/16/2015,"$2,073.07"
12/15/2015,"$2,043.41"
12/14/2015,"$2,021.94"
12/11/2015,"$2,012.37"
12/10/2015,"$2,052.23"
12/9/2015,"$2,047.62"
12/8/2015,"$2,063.59"
12/7/2015,"$2,077.07"
12/4/2015,"$2,091.69"
12/3/2015,"$2,049.62"
12/2/2015,"$2,079.51"
12/1/2015,"$2,102.63"
11/30/2015,"$2,080.41"
11/27/2015,"$2,090.11"
11/25/2015,"$2,088.87"
11/24/2015,"$2,089.14"
11/23/2015,"$2,086.59"
11/20/2015,"$2,089.17"
11/19/2015,"$2,081.24"
11/18/2015,"$2,083.58"
11/17/2015,"$2,050.44"
11/16/2015,"$2,053.19"
11/13/2015,"$2,023.04"
11/12/2015,"$2,045.97"
11/11/2015,"$2,075.00"
11/10/2015,"$2,081.72"
11/9/2015,"$2,078.58"
11/6/2015,"$2,099.20"
11/5/2015,"$2,099.93"
11/4/2015,"$2,102.31"
11/3/2015,"$2,109.79"
11/2/2015,"$2,104.05"
10/30/2015,"$2,079.36"
10/29/2015,"$2,089.41"
10/28/2015,"$2,090.35"
10/27/2015,"$2,065.89"
10/26/2015,"$2,071.18"
10/23/2015,"$2,075.15"
10/22/2015,"$2,052.51"
10/21/2015,"$2,018.94"
10/20/2015,"$2,030.77"
10/19/2015,"$2,033.66"
10/16/2015,"$2,033.11"
10/15/2015,"$2,023.86"
10/14/2015,"$1,994.24"
10/13/2015,"$2,003.69"
10/12/2015,"$2,017.46"
10/9/2015,"$2,014.89"
10/8/2015,"$2,013.43"
10/7/2015,"$1,995.83"
10/6/2015,"$1,979.92"
10/5/2015,"$1,987.05"
10/2/2015,"$1,951.36"
10/1/2015,"$1,923.82"
9/30/2015,"$1,920.03"
9/29/2015,"$1,884.09"
9/28/2015,"$1,881.77"
9/25/2015,"$1,931.34"
9/24/2015,"$1,932.24"
9/23/2015,"$1,938.76"
9/22/2015,"$1,942.74"
9/21/2015,"$1,966.97"
9/18/2015,"$1,958.03"
9/17/2015,"$1,990.20"
9/16/2015,"$1,995.31"
9/15/2015,"$1,978.09"
9/14/2015,"$1,953.03"
9/11/2015,"$1,961.05"
9/10/2015,"$1,952.29"
9/9/2015,"$1,942.04"
9/8/2015,"$1,969.41"
9/4/2015,"$1,921.22"
9/3/2015,"$1,951.13"
9/2/2015,"$1,948.86"
9/1/2015,"$1,913.85"
8/31/2015,"$1,972.18"
8/28/2015,"$1,988.87"
8/27/2015,"$1,987.66"
8/26/2015,"$1,940.51"
8/25/2015,"$1,867.61"
8/24/2015,"$1,893.21"
8/21/2015,"$1,970.89"
8/20/2015,"$2,035.73"
8/19/2015,"$2,079.61"
8/18/2015,"$2,096.92"
8/17/2015,"$2,102.44"
8/14/2015,"$2,091.54"
8/13/2015,"$2,083.39"
8/12/2015,"$2,086.05"
8/11/2015,"$2,084.07"
8/10/2015,"$2,104.18"
8/7/2015,"$2,077.57"
8/6/2015,"$2,083.56"
8/5/2015,"$2,099.84"
8/4/2015,"$2,093.32"
8/3/2015,"$2,098.04"
7/31/2015,"$2,103.84"
7/30/2015,"$2,108.63"
7/29/2015,"$2,108.57"
7/28/2015,"$2,093.25"
7/27/2015,"$2,067.64"
7/24/2015,"$2,079.65"
